Item,Price
Back to nature  Himalayan Salt,-1.00
 Rice Cracker With Seaweed (wasabi flavor),4.00
Gimme Seaweed Snacks - Sea Salt,3.00
Gimme  Seaweed Snacks - Teriyaki,3.00
GGE Wheat Crackers  Soy Sauce Flavor,-1.00
GGE Wheat Crackers  Seaweed Flavor,-1.00
GGE Wheat Crackers  BBQ Flavor,-1.00
GGE Wheat Crackers Hot Chili Flavor,-1.00
 Crispy Ramen Snack - Garlic Flavor ,3.75
Three Framers Fava Beans - Sea Salt,6.45
Three Framers Fava Beans - Sweet Chili,6.45
Planters Trail Mix - Nuts & Chocolate,2.00
Planters Trail Mix - Nuts & Tropical Fruit ,2.00
"Love, Corn Sea Salt",3.35
"Love, Corn Smoked bbq",3.35
Orchard Valley Harvest Nuts Snack ,2.50
Orchard Valley Harvest Nuts Snack ,2.50
Sahale Trail Mix - Honey Almonds  (1.5 OZ),2.80
Sahale Trail Mix - Fruit & Nut (1.5 OZ),2.80
Sahale Trail Mix - Pomegranate Vanilla Flavored Cashews (1.5 OZ),2.80
Sahale Trail Mix - Pomegranate Vanilla Flavored Cashews (4 OZ),7.30
Sahale Trail Mix - Pomegranate Flavored Pistachios (4 OZ),7.30
Pipcorn Sea Salt Mini Popcorn,2.25
Pipcorn Real Cheddar Cheese Balls,2.25
Garden Veggie Snacks Sea Salt Veggie Straws,5.00
LesserEvil Fiery Hot Popcorn,-1.00
LesserEvil Oh my Gee Popcorn,-1.00
Popcorn Indiana  Sweet & Salty Kettle Corn ,5.00
Orville Redenbacher's  Butter Classic Popcorn,1.00
Hippeas Groovy White Cheddar ,-1.00
Stacy’s Pita Chips  Simply Naked,1.80
Stacy’s Pita Chips  Parmesan & Garlic,1.80
Stacy’s Pita Chips  Cinnamon Sugar,1.80
Vista Hermosa  Sea Salt,8.50
Vista Hermosa  Blue Corn,8.50
Green Mountain Gringo Hot Salsa ,6.55
Green Mountain Gringo Mild Salsa,6.55
Annie's Cheddar Bunnies - Original,6.25
Cape Code Chips - Sea Salt ,-1.00
Rold Gold Prezel - Original,-1.00
Pirates Booty Aged White Cheddar,-1.00
The Good Crisp Company Classic Original-- Small,2.50
The Good Crisp Company Classic Original-- Large,5.00
The Good Crisp Company Sour Cream & Onion -- Small,2.50
The Good Crisp Company Sour Cream & Onion -- Large,5.00
The Good Crisp Company Outback BBQ -- Large,5.00
Sanukiya Udon,-1.00
Amy's Soup Golden Lentil,5.25
Amy's Soup  Cream of Tomato,5.25
Amy's Soup  Fresh Country Vegtable,5.25
Amy's Soup Black bean vegtable,5.25
Amy's Soup  Minestrone,5.25
Mike's Might Good  Beef Ramen ,-1.00
 Pork Tonkotsu,-1.00
 Chicken Ramen,-1.00
Yale  Avocado Roll,-1.00
Yale  Vegtable Combo 10pc (brown rice) roll,7.99
Yale  Cruncy California (white rice) roll,8.49
Yale  Spicy Shrimp roll,8.49
Yale  Spicy California roll (10pc),7.49
Yale  California roll,6.99
Yale  Shrimp Tempura Roll ,-1.00
Yale  Crunchy Shrimp Tempura Roll,-1.00
Yale  Red Rock Roll,10.49
Yale  Dragon Roll,8.99
Yale  Spicy Shrimp roll,-1.00
Yale  Nigiri,-1.00
Yale  Rainbow Roll,11.99
Yale  Spicy Tuna Roll (10 pc) (brown rice),8.99
Yale  Spicy Salmon Roll,-1.00
Yale  Chef Sampler A ,13.99
Yale  Salmon Avocado Roll (10 pc) (brown rice),8.99
"Yale  Poke bowl - salmon, tuna",11.99
Pocky Sticks Strawberry,2.80
Pocky Sticks Chocolate,2.80
Pocky Sticks  Matcha,2.80
Greystone Vegan Fudge Brownie,3.00
Greystone Vegan Cinnamon Roll,3.00
La Fermieroe Dessert  Pistachio Creme,4.50
Marie Morin Dessert  Mousse Cake,4.50
Marie Morin Dessert  Cheesecake,4.50
Kozyshack  Rice Pudding ,1.10
Swiss Rolls Strawberry,6.00
Swiss Rolls Cocoa,6.00
Swiss Rolls Old Fashion,6.00
Swiss Rolls Green Tea,6.00
Hail Merry Cups Key Lime Pie,4.50
Hail Merry Cups Espresso,4.50
Hail Merry Cups  Almond Butter,4.50
Perfect Bar  Salted Caramel,4.00
Perfect Bar  Chocolate Hazelnut Crisp,4.00
Perfect Bar  Dark Chocolate Almond,4.00
Perfect Bar  Peanut Butter,4.00
 Pancakes to go ,-1.00
Abe's Mom  Gluten Free Muffin - coffee cake ,3.50
Abe's Mom  Vegan Muffin - blueberry,3.50
Bakerly Chocolate Hazelnut Crepes,6.00
Bakerly Strawberry Filled Crepes,6.00
Justins Peanut Butter Cups - Dark Chocolate,2.80
Justin's Almond Butter Cups - Dark Chocolate,2.80
Justin's Almond Butter Squeeze,1.70
Justin's  Hazelnut & Almond Butter Squeeze,1.70
Pipcorn Cinnamon Sugar Twists,-1.00
Tortilleria Mi Niña Organic Sea Salt ,-1.00
The Bites Company Biscotti Lemon Bites (4.5 OZ),5.50
The Bites Company Biscotti Almond Bites (4.5 OZ),5.50
The Bites Company Biscotti Chocolate Bites (4.5 OZ),-1.00
Tate's Tiny Cookies,2.80
Michel & Augustin Cookie Squares,2.50
Lenny & Larry's The Complete Cookie - White Chocolate Flavored Macademia,3.50
Lenny & Larry's The Complete Cookie - Snickerdoodle,3.50
Annie's Bunny Grahams - Honey,7.30
Tate's Glutten Free Chocolate Chip Cookies,6.70
Michel & Augustin Cookies Squares - Chocolate and Toasted Hazelnuts,6.95
The Bites Company Biscotti Chocolate Bites (1.25 OZ),3.00
The Bites Company Biscotti Lemon Bites (1.25 OZ),3.00
The Bites Company Biscotti Brown Butter Bites (1.25 OZ),3.00
Free 2B Sunflower Butter Cups - Chocolate,6.75
Free 2B Sunflower Butter Cups - Dark Chocolate,4.75
Panda Licorice - Soft Original,4.75
Panda Licorice - Raspberry,4.75
Darrell Lea Australian Licorice - Original,4.75
Darrell Lea Australian Licorice - Strawberry,4.75
YumEarth Glutten Free Gummy Bears,9.50
Smart Sweets Sweet Fish,4.00
Smart Sweets Sourblast Buddies,4.00
Smart Sweets Peach Rings,4.00
Sweet Street Cinnamon Coffee Cake,2.50
Sweet Street Salted Carmel Cookie,2.50
Sweet Street Chewy Marshmallow,3.00
McVities Digestives,5.75
Loacker Wafers - Vanilla,2.00
Loacker Wafers - Double Chocolate,2.00
Loacker Wafers - Chocolate,2.00
Equal Exchange Dark Caramel Crunch ,4.20
Equal Exchange Extreme Dark,4.20
Equal Exchange Panama Extra Dark,4.20
Equal Exchange Coconut Milk,4.20
Chocolove Chilies & Cherries in Dark Chocolate,5.05
 Toffee & Almond in Milk Chocolate,5.05
Swoffle French Vanilla,2.80
Swoffle Caramel Filled,2.80
Swoffle Dark Chocolate Dipped,2.80
Unreal Dark Chocolate Peanut Butter Cups,6.70
Unreal Dark Chocolate Crispy Quinoa Gems,6.70
Sanders Dark Chocolate Sea Salt Caramels,8.00
Undercover Chocolate Quinoa Crisps - Dark Chocolate + Sea Salt,5.00
Cocomels Bites - Sea Salt in Dark Chocolate,6.15
Cocomels Coconut Milk Caramels - Sea Salt,6.15
Halo Ice Cream,8.95
Quinn Peanut Butter Filled Nuggets,-1.00
Flax4Life Chocolate Brownies,-1.00
Bakerly French Pancakes To Go,-1.00
Poppi Orange,3.35
Poppi  Doc Pop,3.35
Poppi Strawberry Lemon,3.35
Poppi Cherry Cola,3.35
Poppi Lemon Lime,3.35
Poppi  Raspberry Rose,3.35
Poppi Ginger Lime,3.35
Poppi Watermelon,3.35
Poppi Root Beer,3.35
Poppi Classic Cola,3.35
Olipop Cherry Vanilla,3.50
Sanzo Sparkling Yuzu,3.25
Sanzo Sparkling Lychee,3.25
Sanzo Sparkling Mango,3.25
Boxed Water Water,3.00
Tractor Mango,3.50
Tractor Strawberry,3.50
Tractor Lemon,3.50
Tractor Grape,3.50
Just Ice Tea Morrocan Mint,3.25
Just Ice Tea HIbiscus,3.25
Just Ice Tea Half Tea and Half Lemonade,3.25
Just Ice Tea Green Tea Honey,3.25
Health Ade Kombucha Pomegranate-blueberry,5.00
Health Ade Kombucha Ginger lemon,5.00
Wondermelon Juice Watermelon cucumber basil,4.50
Copra Young thai coconut vater,4.75
essential bottled water,2.25
Red jacket Fuji,3.50
Red jacket Ny Style lemonade,3.50
Poland Spring Orange,2.20
Poland Spring Lime,2.20
Poland Spring Lemon,2.20
Poland Spring Strawberry Lime,2.20
Moshi Sparkling Red Shisho and Apple,3.50
Moshi Sparkling White Peach,3.50
Natalie's Natural Lemonade,4.50
Yale Turkey Rango,8.50
Yale Herbed Tuna Salad Sandwich,7.50
Yale Commons To Go -  Pasta Pulliese,12.00
Yale Commons To Go -  Chicken Dumplings,12.00
Yale Commons To Go -  Pork Dumplings,12.00
Yale Turkey and Cheddar on Multigrain,7.50
Yale Chicken Caprese,7.50
Yale Roast Beef Onion Dip Sandwich,7.50
Yale Peanut Butter & Jelly Sandwich on Multigrain,5.50
Yale Buffalo Cauliflower Wrap,7.50
Yale Ratatouille Wrap,7.50
Amy's  Cheese Enchilada,7.50
OWYN Cookies & Creamless,5.00
OWYN Dark Chocolate,5.00
OWYN Cold Brew Coffee,5.00
Chobani Vanilla,3.35
Chobani Less Sugar Ripe Strawberry,3.35
Chobani Non Fat Plain,3.35
Chobani Less Sugar Wild Blueberry,3.35
Cocojune Strawberry Rhubarb Yogurt,3.90
Cocojune Coconut Yogurt,3.90
Santa Cruz Apple Sauce,2.50
Good Culture Low Fat Cottage Cheese- Blueberry,3.50
La fermiere Mango Passion fruit,4.50
La fermiere Hibiscus Rasberry,4.50
La fermiere Vanilla,4.50
La Colombe Draft Latte- Mocha,4.40
La Colombe Draft Latte- Vanilla,4.40
La Colombe Draft Latte- Triple,4.40
Noka Smoothie Mango Coconut,3.90
Noka Smoothie Blueberry Beet,3.90
Siggi's Black Cherry,3.90
Siggi's Vanilla,3.90
Orbit Wrigley Orbit Gum,2.50
Tic Tac Tic Tac- Winter Green,2.50
Honees Honey Menthol Eucalyptes Drops,-1.00
Pur Gum Peppermint,2.50
Pur Gum Spearmint,2.50
m&ms Peanut M&MS,2.50
m&ms M&MS,2.50
Sanders Sea Salt Caramel,3.00
Kitkat KitKat,2.50
Reese's Peanut Butter Cups,2.50
Hershey's Milk Chocolate,-1.00
Loaker Wafers- Classic,2.00
